activityId,currentSessionStarted,event,event_hashCode,event_hashcode,ext,firstSessionStarted,gameplayId,gameplayId_hashCode,name,progress,response,score,session,stored,success,target,target_hashCode,time,timestamp,type,type_hashCode,uuidv4,versionId
"5dd186a95187cd0095b07ea2","Wed Nov 20 2019 15:50:52 GMT+0100 (Central European Standard Time)","completed","-1402931637",???,"[object Object]","2019-11-20T14:04:50.583Z","5dd548025187cd0095b07eb3",???,"ivan martinez-ortiz",???,???,"1","2","2019-11-20T14:48:12.144Z","true","level1","-1106127571",???,"Wed Nov 20 2019 15:50:52 GMT+0100 (Central European Standard Time)","level","102865796","bc77dae8-0749-418a-9984-1770880fc8a7","5c613b4dcf73440078c85032"
"5dd186a95187cd0095b07ea2","Thu Nov 21 2019 07:08:56 GMT+0100 (Central European Standard Time)","selected","1191572123",???,"[object Object]","2019-11-19T22:12:48.368Z","5dd468e05187cd0095b07eaf",???,"wp3",???,"((x >= (0)) && (y >= (0)))","0","3","2019-11-21T06:06:15.942Z","true","pre","111267",???,"Thu Nov 21 2019 07:08:56 GMT+0100 (Central European Standard Time)","question","-1165870106","27abecba-11c4-47a6-815a-d3c7bc022ca7","5c613b4dcf73440078c85032"
"5dd186a95187cd0095b07ea2","Wed Nov 20 2019 15:17:26 GMT+0100 (Central European Standard Time)","completed","-1402931637",???,"[object Object]","2019-11-20T14:04:50.583Z","5dd548025187cd0095b07eb3",???,"ivan martinez-ortiz",???,???,"1","1","2019-11-20T14:14:46.131Z","true","level1","-1106127571",???,"Wed Nov 20 2019 15:17:26 GMT+0100 (Central European Standard Time)","level","102865796","b2606681-f4b5-4ceb-bd75-e39d78aa69a6","5c613b4dcf73440078c85032"
"5dd186a95187cd0095b07ea2","Wed Nov 20 2019 15:10:59 GMT+0100 (Central European Standard Time)","selected","1191572123",???,"[object Object]","2019-11-20T14:04:50.583Z","5dd548025187cd0095b07eb3",???,"ivan martinez-ortiz",???,"((x >= (0)) && (y >= (0)))","0","1","2019-11-20T14:08:18.250Z","true","pre","111267",???,"Wed Nov 20 2019 15:10:59 GMT+0100 (Central European Standard Time)","question","-1165870106","f1adbb8c-898c-429e-8650-7439e8ec71c8","5c613b4dcf73440078c85032"
"5dd186a95187cd0095b07ea2","Thu Nov 21 2019 07:24:45 GMT+0100 (Central European Standard Time)","completed","-1402931637",???,"[object Object]","2019-11-19T22:12:48.368Z","5dd468e05187cd0095b07eaf",???,"wp3",???,???,"1","7","2019-11-21T06:22:05.576Z","true","level1","-1106127571",???,"Thu Nov 21 2019 07:24:45 GMT+0100 (Central European Standard Time)","level","102865796","248275fc-2223-4f4a-8117-2438b87bbb31","5c613b4dcf73440078c85032"
"5dd186a95187cd0095b07ea2","Thu Nov 21 2019 07:23:16 GMT+0100 (Central European Standard Time)","completed","-1402931637",???,"[object Object]","2019-11-19T22:12:48.368Z","5dd468e05187cd0095b07eaf",???,"wp3",???,???,"1","7","2019-11-21T06:20:35.872Z","true","wave","3642105",???,"Thu Nov 21 2019 07:23:16 GMT+0100 (Central European Standard Time)","stage","109757182","ec48e5f5-4103-4d21-8b72-4f580d0d65c6","5c613b4dcf73440078c85032"
"5dd186a95187cd0095b07ea2","Tue Nov 19 2019 23:27:17 GMT+0100 (Central European Standard Time)","selected","1191572123",???,"[object Object]","2019-11-19T22:12:48.368Z","5dd468e05187cd0095b07eaf",???,"wp3",???,"(retval == x)","1","2","2019-11-19T22:24:36.938Z","false","post","3446944",???,"Tue Nov 19 2019 23:27:17 GMT+0100 (Central European Standard Time)","question","-1165870106","7863dad0-ed7f-4e43-be57-1df8c0913c20","5c613b4dcf73440078c85032"
"5dd186a95187cd0095b07ea2","Wed Nov 20 2019 15:44:36 GMT+0100 (Central European Standard Time)","initialized","1234020052",???,"[object Object]","2019-11-20T14:04:50.583Z","5dd548025187cd0095b07eb3",???,"ivan martinez-ortiz",???,???,???,"2","2019-11-20T14:41:55.305Z",???,"wave","3642105",???,"Wed Nov 20 2019 15:44:36 GMT+0100 (Central European Standard Time)","stage","109757182","c1c86d74-6460-48a1-94b3-2971284b8e60","5c613b4dcf73440078c85032"
"5dd186a95187cd0095b07ea2","Thu Nov 21 2019 07:05:04 GMT+0100 (Central European Standard Time)","initialized","1234020052",???,"[object Object]","2019-11-19T22:12:48.368Z","5dd468e05187cd0095b07eaf",???,"wp3",???,???,???,"3","2019-11-21T06:02:23.900Z",???,"wave","3642105",???,"Thu Nov 21 2019 07:05:04 GMT+0100 (Central European Standard Time)","stage","109757182","c18e1740-2218-43e2-ae96-6bebc979c2ff","5c613b4dcf73440078c85032"
"5dd186a95187cd0095b07ea2","Tue Nov 19 2019 23:14:24 GMT+0100 (Central European Standard Time)","initialized","1234020052",???,"[object Object]","2019-11-19T22:11:42.592Z","5dd4689e5187cd0095b07eac",???,"wp2",???,???,???,"1","2019-11-19T22:11:43.686Z",???,"wave","3642105",???,"Tue Nov 19 2019 23:14:24 GMT+0100 (Central European Standard Time)","stage","109757182","9be98907-bf09-49c7-bc12-783a6a108c1d","5c613b4dcf73440078c85032"
"5dd186a95187cd0095b07ea2","Thu Nov 21 2019 14:21:22 GMT+0100 (Central European Standard Time)","completed","-1402931637",???,"[object Object]","2019-11-19T22:12:48.368Z","5dd468e05187cd0095b07eaf",???,"wp3",???,???,"1","8","2019-11-21T13:18:42.374Z","true","wave","3642105",???,"Thu Nov 21 2019 14:21:22 GMT+0100 (Central European Standard Time)","stage","109757182","81380a52-7759-466e-85ad-bb28ce36f014","5c613b4dcf73440078c85032"
"5dd186a95187cd0095b07ea2","Thu Nov 21 2019 16:30:13 GMT+0100 (Central European Standard Time)","initialized","1234020052",???,"[object Object]","2019-11-21T15:27:33.053Z","5dd6ace55187cd0095b07ec9",???,"gabriel sellés",???,???,???,"1","2019-11-21T15:27:33.250Z",???,"level1","-1106127571",???,"Thu Nov 21 2019 16:30:13 GMT+0100 (Central European Standard Time)","level","102865796","c10889e5-e8cb-4b08-b7bf-45274f5c3363","5c613b4dcf73440078c85032"
"5dd186a95187cd0095b07ea2","Thu Nov 21 2019 16:32:02 GMT+0100 (Central European Standard Time)","initialized","1234020052",???,"[object Object]","2019-11-21T15:29:22.393Z","5dd6ad525187cd0095b07ecf",???,"manuel freire",???,???,???,"1","2019-11-21T15:29:23.004Z",???,"wave","3642105",???,"Thu Nov 21 2019 16:32:02 GMT+0100 (Central European Standard Time)","stage","109757182","bf2a3e05-bd57-4089-908e-5fdaef7a6721","5c613b4dcf73440078c85032"
"5dd186a95187cd0095b07ea2","Thu Nov 21 2019 16:29:30 GMT+0100 (Central European Standard Time)","initialized","1234020052",???,"[object Object]","2019-11-21T15:26:50.063Z","5dd6acba5187cd0095b07ec6",???,"paloma",???,???,???,"1","2019-11-21T15:26:50.655Z",???,"wave","3642105",???,"Thu Nov 21 2019 16:29:30 GMT+0100 (Central European Standard Time)","stage","109757182","fa9988f1-d7a9-4560-b4e3-16cdc43eadc0","5c613b4dcf73440078c85032"
"5dd186a95187cd0095b07ea2","Thu Nov 21 2019 16:32:37 GMT+0100 (Central European Standard Time)","initialized","1234020052",???,"[object Object]","2019-11-21T15:29:56.818Z","5dd6ad745187cd0095b07ed2",???,"qwerty",???,???,???,"1","2019-11-21T15:29:57.581Z",???,"wave","3642105",???,"Thu Nov 21 2019 16:32:37 GMT+0100 (Central European Standard Time)","stage","109757182","9bb20e21-d931-4ccf-a3d7-52d301d5efb3","5c613b4dcf73440078c85032"
